data,tutti,maschi,femmine
0.0,81,40,41
1.0,24,17,7
2.0,11,7,4
3.0,10,6,4
4.0,5,4,1
5.0,3,1,2
6.0,5,2,3
7.0,4,3,1
8.0,5,3,2
9.0,4,4,0
10.0,14,9,5
11.0,8,4,4
12.0,5,3,2
13.0,12,5,7
14.0,10,3,7
15.0,8,3,5
16.0,7,4,3
17.0,7,4,3
18.0,19,8,11
19.0,20,10,10
20.0,20,8,12
21.0,31,11,20
22.0,33,12,21
23.0,29,17,12
24.0,29,12,17
25.0,35,16,19
26.0,42,18,24
27.0,36,17,19
28.0,59,32,27
29.0,54,24,30
30.0,49,28,21
31.0,53,21,32
32.0,54,31,23
33.0,56,31,25
34.0,72,34,38
35.0,56,25,31
36.0,66,33,33
37.0,60,42,18
38.0,72,36,36
39.0,77,41,36
40.0,92,65,27
41.0,92,63,29
42.0,87,49,38
43.0,113,61,52
44.0,122,82,40
45.0,135,92,43
46.0,142,89,53
47.0,150,98,52
48.0,169,108,61
49.0,178,122,56
50.0,189,130,59
51.0,226,155,71
52.0,225,141,84
53.0,242,164,78
54.0,271,171,100
55.0,265,171,94
56.0,299,209,90
57.0,270,181,89
58.0,244,160,84
59.0,327,211,116
60.0,320,202,118
61.0,279,170,109
62.0,319,186,133
63.0,291,180,111
64.0,326,201,125
65.0,319,192,127
66.0,312,214,98
67.0,343,223,120
68.0,322,213,109
69.0,384,245,139
70.0,400,237,163
71.0,431,253,178
72.0,443,266,177
73.0,452,280,172
74.0,464,272,192
75.0,434,274,160
76.0,436,269,167
77.0,479,262,217
78.0,459,269,190
79.0,500,278,222
80.0,567,308,259
81.0,549,299,250
82.0,534,280,254
83.0,548,301,247
84.0,503,267,236
85.0,528,273,255
86.0,526,250,276
87.0,431,209,222
88.0,436,206,230
89.0,414,176,238
90.0,354,169,185
91.0,279,109,170
92.0,235,90,145
93.0,202,78,124
94.0,163,47,116
95.0,122,37,85
96.0,94,33,61
97.0,63,11,52
98.0,41,8,33
99.0,22,4,18
100.0,15,3,12
101.0,7,3,4
102.0,0,0,0
103.0,1,0,1
104.0,2,1,1
105.0,2,1,1
