date,all,male,female
0.0,1665,868,797
1.0,1933,1025,908
2.0,1970,999,971
3.0,2268,1168,1100
4.0,2412,1241,1171
5.0,2571,1291,1280
6.0,2681,1410,1271
7.0,3048,1598,1450
8.0,3146,1573,1573
9.0,3414,1709,1705
10.0,3645,1794,1851
11.0,3776,1923,1853
12.0,3909,1975,1934
13.0,3950,1974,1976
14.0,3745,1875,1870
15.0,4040,2099,1941
16.0,4411,2332,2079
17.0,4779,2524,2255
18.0,5003,2662,2341
19.0,4663,2473,2190
20.0,4499,2387,2112
21.0,4547,2379,2168
22.0,4459,2314,2145
23.0,4320,2196,2124
24.0,4250,2146,2104
25.0,4344,2132,2212
26.0,4353,2159,2194
27.0,4524,2227,2297
28.0,4616,2260,2356
29.0,4570,2252,2318
30.0,4587,2201,2386
31.0,4527,2208,2319
32.0,4538,2260,2278
33.0,4409,2145,2264
34.0,4359,2131,2228
35.0,4425,2143,2282
36.0,4344,2024,2320
37.0,4385,2071,2314
38.0,4428,2147,2281
39.0,4512,2133,2379
40.0,4448,2151,2297
41.0,4559,2116,2443
42.0,4687,2177,2510
43.0,4651,2120,2531
44.0,4808,2256,2552
45.0,5028,2316,2712
46.0,5273,2516,2757
47.0,5101,2379,2722
48.0,5173,2494,2679
49.0,5221,2470,2751
50.0,5133,2444,2689
51.0,5190,2451,2739
52.0,5100,2457,2643
53.0,5085,2450,2635
54.0,4983,2388,2595
55.0,5014,2477,2537
56.0,4799,2360,2439
57.0,4631,2290,2341
58.0,4605,2263,2342
59.0,4342,2214,2128
60.0,4244,2057,2187
61.0,4101,2106,1995
62.0,3742,1942,1800
63.0,3549,1756,1793
64.0,3440,1754,1686
65.0,3299,1652,1647
66.0,3108,1559,1549
67.0,2811,1428,1383
68.0,2816,1425,1391
69.0,2611,1296,1315
70.0,2692,1369,1323
71.0,2624,1338,1286
72.0,2596,1322,1274
73.0,2501,1266,1235
74.0,2323,1176,1147
75.0,2039,991,1048
76.0,1848,930,918
77.0,1682,805,877
78.0,1693,791,902
79.0,1595,743,852
80.0,1748,783,965
81.0,1653,733,920
82.0,1594,663,931
83.0,1474,617,857
84.0,1360,532,828
85.0,1329,525,804
86.0,1228,458,770
87.0,1171,436,735
88.0,1060,356,704
89.0,928,316,612
90.0,864,264,600
91.0,725,217,508
92.0,584,163,421
93.0,433,119,314
94.0,361,89,272
95.0,248,70,178
96.0,195,37,158
97.0,149,37,112
98.0,95,26,69
99.0,64,12,52
100.0,36,5,31
101.0,14,0,14
102.0,8,1,7
103.0,8,2,6
104.0,4,1,3
105.0,1,0,1
106.0,2,0,2
107.0,3,2,1
