date,all,male,female
0,8239,4300,3939
1,9493,4996,4497
2,9917,5095,4822
3,11215,5778,5437
4,12457,6362,6095
5,13093,6740,6353
6,14540,7588,6952
7,16012,8196,7816
8,16785,8720,8065
9,18123,9287,8836
10,19358,9884,9474
11,19648,10218,9430
12,16678,8510,8168
13,16734,8438,8296
14,16491,8203,8288
15,16821,8294,8527
16,17298,8426,8872
17,17478,8671,8807
18,16990,8333,8657
19,15102,7469,7633
20,15499,7628,7871
21,15825,7896,7929
22,15694,7872,7822
23,16016,8003,8013
24,16218,7944,8274
25,16484,7957,8527
26,16578,7943,8635
27,16997,8087,8910
28,17129,8256,8873
29,17793,8389,9404
30,18280,8574,9706
31,18264,8671,9593
32,18672,8622,10050
33,18748,8682,10066
34,18540,8476,10064
35,18462,8307,10155
36,19127,8574,10553
37,20006,8916,11090
38,20308,9138,11170
39,20618,9254,11364
40,21184,9449,11735
41,21696,9805,11891
42,22407,10121,12286
43,23487,10408,13079
44,24501,10872,13629
45,25253,11222,14031
46,26149,11603,14546
47,27297,12311,14986
48,27024,12251,14773
49,27174,12399,14775
50,27370,12670,14700
51,26136,11991,14145
52,25968,11932,14036
53,25302,11647,13655
54,24695,11219,13476
55,24581,11466,13115
56,24422,11291,13131
57,23903,10980,12923
58,21991,10113,11878
59,20696,9413,11283
60,19833,9003,10830
61,18775,8692,10083
62,17535,8161,9374
63,16484,7585,8899
64,15914,7371,8543
65,14523,6794,7729
66,14103,6546,7557
67,13349,6243,7106
68,12801,6034,6767
69,12421,5899,6522
70,12536,5866,6670
71,12725,5972,6753
72,12777,6005,6772
73,13786,6454,7332
74,13497,6398,7099
75,12990,6059,6931
76,11499,5470,6029
77,9837,4646,5191
78,9985,4790,5195
79,9394,4347,5047
80,9222,4386,4836
81,9778,4445,5333
82,9333,4125,5208
83,8643,3913,4730
84,8036,3536,4500
85,7018,2996,4022
86,6556,2739,3817
87,5683,2373,3310
88,5242,1982,3260
89,4486,1661,2825
90,4124,1455,2669
91,3621,1188,2433
92,3060,955,2105
93,2407,705,1702
94,1928,524,1404
95,1517,382,1135
96,1116,250,866
97,838,154,684
98,597,112,485
99,360,56,304
100,262,29,233
101,162,23,139
102,53,9,44
103,29,9,20
104,19,4,15
105,16,1,15
106,11,4,7
107,5,0,5
108,4,1,3
109,2,1,1
110,4,3,1
