date,all,male,female
0.0,76,36,40
1.0,24,17,7
2.0,11,7,4
3.0,9,5,4
4.0,5,4,1
5.0,3,1,2
6.0,5,2,3
7.0,4,3,1
8.0,5,3,2
9.0,4,4,0
10.0,14,9,5
11.0,7,3,4
12.0,5,3,2
13.0,11,5,6
14.0,9,2,7
15.0,8,3,5
16.0,7,4,3
17.0,7,4,3
18.0,18,8,10
19.0,19,10,9
20.0,20,8,12
21.0,30,10,20
22.0,33,12,21
23.0,29,17,12
24.0,29,12,17
25.0,35,16,19
26.0,41,18,23
27.0,36,17,19
28.0,59,32,27
29.0,54,24,30
30.0,48,27,21
31.0,51,21,30
32.0,52,31,21
33.0,55,30,25
34.0,72,34,38
35.0,54,25,29
36.0,64,31,33
37.0,58,41,17
38.0,69,35,34
39.0,77,41,36
40.0,91,64,27
41.0,90,62,28
42.0,85,48,37
43.0,112,61,51
44.0,120,81,39
45.0,131,89,42
46.0,138,86,52
47.0,145,96,49
48.0,166,105,61
49.0,175,120,55
50.0,184,127,57
51.0,226,155,71
52.0,218,138,80
53.0,237,160,77
54.0,267,169,98
55.0,261,170,91
56.0,293,204,89
57.0,266,179,87
58.0,240,158,82
59.0,316,204,112
60.0,315,198,117
61.0,276,168,108
62.0,311,183,128
63.0,287,178,109
64.0,321,198,123
65.0,313,187,126
66.0,305,211,94
67.0,336,220,116
68.0,316,209,107
69.0,383,244,139
70.0,396,235,161
71.0,427,251,176
72.0,429,260,169
73.0,439,271,168
74.0,460,270,190
75.0,427,268,159
76.0,430,267,163
77.0,470,257,213
78.0,451,263,188
79.0,488,271,217
80.0,556,302,254
81.0,542,295,247
82.0,525,279,246
83.0,538,296,242
84.0,491,259,232
85.0,522,269,253
86.0,521,250,271
87.0,423,206,217
88.0,427,202,225
89.0,405,174,231
90.0,346,166,180
91.0,275,109,166
92.0,232,90,142
93.0,197,76,121
94.0,158,45,113
95.0,120,37,83
96.0,92,33,59
97.0,63,11,52
98.0,41,8,33
99.0,22,4,18
100.0,15,3,12
101.0,7,3,4
102.0,0,0,0
103.0,1,0,1
104.0,2,1,1
105.0,2,1,1
